"","logFC","AveExpr","t","P.Value","adj.P.Val","Significance"
"batf2",-1.71833321663725,1.82998552014236,-2.93484691850087,0.00188192402265483,0.138288591408921,"Not significant"
"kiaa0408",1.65024036493048,-3.19894515521631,2.93154647093789,0.00190111845619538,0.138891538542505,"Not significant"
"adra2b",-1.58489632295229,0.901469623359291,-2.90343484435671,0.00207202363972908,0.150507510244459,"Not significant"
"sp5",1.63857876934861,-3.69296321496809,2.88424499806324,0.00219663970175338,0.158647595374063,"Not significant"
"septin3",1.51583490278761,2.25045163859631,2.87872775012279,0.00223371482862264,0.160408646130464,"Not significant"
"wt1",1.58746258258878,-3.22216580218764,2.86159565480496,0.00235251313491565,0.16798538707457,"Not significant"
"chst1",-1.66274460259592,0.0316654939670948,-2.85556380772451,0.00239569333852819,0.170107685986841,"Not significant"
"stmn2",1.40167446083372,2.13701525107991,2.85002555087378,0.00243597556390978,0.172001648895283,"Not significant"
"slc36a2",1.36337916956333,1.85610714058753,2.83745992366139,0.00252967156526679,0.176950480156101,"Not significant"
"igf2",1.7422509522735,-1.92638311104686,2.83688130162408,0.00253406415920992,0.176950480156101,"Not significant"
"rhou",1.84166647764953,-0.69203849688902,2.83188256413712,0.00257230236141076,0.178633678823465,"Not significant"
"c17orf107",1.46404984609672,-0.188599763209985,2.82757261135103,0.00260569290813234,0.179963675769862,"Not significant"
"tex9",1.32989760019938,0.44343783450743,2.81229103009993,0.00272729018695963,0.187338155831428,"Not significant"
"kcnh4",1.38996908054125,0.585618747244359,2.80794428183371,0.00276280903564302,0.188371163423634,"Not significant"
"rnase13",-1.61883238996766,-1.79264401828642,-2.8068112004637,0.00277213675107175,0.188371163423634,"Not significant"
"mgll",1.40917101882732,2.09353702041446,2.75665383263207,0.0032148804696913,0.217288097627959,"Not significant"
"mx2",-1.38398642817162,6.32484058918912,-2.75132355564275,0.00326551776197536,0.219536590391524,"Not significant"
"nxph4",1.54985135880372,-3.15482495401732,2.7470273266947,0.00330685685201127,0.221139490754341,"Not significant"
"bhlha15",1.40867146109501,1.23006189582975,2.71570687830478,0.00362285030762057,0.24099581598956,"Not significant"
"gpr27",1.31707783821937,1.08670978019693,2.70698651381272,0.00371556581564531,0.244852065569064,"Not significant"
"necab2",-1.84033193255522,-2.04866952875567,-2.70661470811673,0.00371956615153574,0.244852065569064,"Not significant"
"gbp1",-1.32603299462767,7.84994648247581,-2.69051683053417,0.0038965456607307,0.255173267388473,"Not significant"
"il7",1.46836471947052,0.74355410170843,2.68535709708679,0.00395486076932812,0.257657140533702,"Not significant"
"ido1",-2.02915394491049,2.11925729621629,-2.67747545615946,0.00404546101060868,0.262208111349144,"Not significant"
"cygb",-1.47890606923891,-0.408185353611306,-2.65675378537842,0.0042926617392907,0.276810978178037,"Not significant"
"dtx1",-1.26273672992482,4.22479487887251,-2.64787656380745,0.00440266740903307,0.282463519709487,"Not significant"
"cdh4",1.53305120395236,-2.91410575259314,2.62578888940097,0.00468747512535297,0.299217162168365,"Not significant"
"mmrn2",-1.47862431654664,2.5238352530511,-2.60743502080096,0.00493662783232428,0.312096504424354,"Not significant"
"jakmip2",1.44720025884263,-1.055822760399,2.60679414136021,0.00494553878210301,0.312096504424354,"Not significant"
"klrc1",1.70928221129186,-1.79454884115034,2.60551842527331,0.00496331967634268,0.312096504424354,"Not significant"
"chrne",1.42403745394599,1.73442145669851,2.58303921601906,0.00528619622312481,0.330753633980567,"Not significant"
"gprc5d",1.69764388468068,2.14929175545147,2.56917078229263,0.00549466748638059,0.34210395251411,"Not significant"
"mob3b",-1.41231802640513,-1.71661864740201,-2.56659178917355,0.00553423743377458,0.342878563360181,"Not significant"
