ID;rna_file;rna_lib_type;rna_batch;pair;mother;sex;date_birth;remark;year;timepoint_sample;sample_collection_date;sample_collection_Dec_days;delta_days_samples;age_days;tissue;colony;life_history_stage
N6;N6_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB6_N6;FWB6;M;NA;NA;2019_2020;1;10-12-2019;10;0;2to5;blood;FWB;Pup
FWB6;FWB6_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB6_N6;NA;F;NA;NA;2019_2020;2;10-02-2020;72;62;NA;blood;FWB;Mother
N6;N6_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB6_N6;FWB6;M;NA;not sure about delta days;2019_2020;2;10-02-2020;72;62;65;blood;FWB;Pup
FWB8;FWB8_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB8_N8;NA;F;NA;NA;2019_2020;1;10-12-2019;10;0;NA;blood;FWB;Mother
N8;N8_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB8_N8;FWB8;M;NA;NA;2019_2020;1;10-12-2019;10;0;2to5;blood;FWB;Pup
FWB8;FWB8_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB8_N8;NA;F;NA;NA;2019_2020;2;17-02-2020;79;69;NA;blood;FWB;Mother
N8;N8_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB8_N8;FWB8;M;NA;not sure about delta days;2019_2020;2;17-02-2020;79;69;72;blood;FWB;Pup
S14;S14_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S14_H13;NA;F;NA;NA;2018_2019;1;12-12-2018;12;0;NA;blood;SSB;Mother
H13;H13_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S14_H13;S14;M;10-12-2018;NA;2018_2019;1;12-12-2018;12;0;2;blood;SSB;Pup
S14;S14_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S14_H13;NA;F;NA;NA;2018_2019;2;08-02-2019;70;58;NA;blood;SSB;Mother
H13;H13_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;S14_H13;S14;M;10-12-2018;NA;2018_2019;2;08-02-2019;70;58;60;blood;SSB;Pup
S15;S15_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCokaE;S15_H14;NA;F;NA;NA;2018_2019;1;13-12-2018;13;0;NA;blood;SSB;Mother
H14;H14_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S15_H14;S15;M;11-12-2018;NA;2018_2019;1;13-12-2018;13;0;2;blood;SSB;Pup
S15;S15_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S15_H14;NA;F;NA;NA;2018_2019;2;07-02-2019;69;56;NA;blood;SSB;Mother
H14;H14_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;S15_H14;S15;M;11-12-2018;NA;2018_2019;2;07-02-2019;69;56;58;blood;SSB;Pup
S16;S16_SSB_mum_end_2018;BGISEQ-500 Transcriptome;F20FTSEUHT0820_ARCbfrE;S16_H15;NA;F;NA;NA;2018_2019;2;07-02-2019;69;NA;NA;blood;SSB;Mother
H15;H15_SSB_pup_end_2018;BGISEQ-500 Transcriptome;F20FTSEUHT0820_ARCbfrE;S16_H15;S16;F;10-12-2018;NA;2018_2019;2;07-02-2019;69;56;59;blood;SSB;Pup
S17;S17_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;S17_H16;NA;F;NA;NA;2018_2019;1;14-12-2018;14;0;NA;blood;SSB;Mother
H16;H16_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S17_H16;S17;F;11-12-2018;NA;2018_2019;1;14-12-2018;14;0;3;blood;SSB;Pup
S17;S17_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S17_H16;NA;F;NA;NA;2018_2019;2;15-02-2019;77;63;NA;blood;SSB;Mother
H16;H16_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;S17_H16;S17;F;11-12-2018;NA;2018_2019;2;16-02-2019;78;64;67;blood;SSB;Pup
S18;S18_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S18_H17;NA;F;NA;NA;2018_2019;1;15-12-2018;15;0;NA;blood;SSB;Mother
H17;H17_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S18_H17;S18;F;12-12-2018;NA;2018_2019;1;15-12-2018;15;0;3;blood;SSB;Pup
S18;S18_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S18_H17;NA;F;NA;NA;2018_2019;2;12-02-2019;74;59;NA;blood;SSB;Mother
H17;H17_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCokaE;S18_H17;S18;F;12-12-2018;NA;2018_2019;2;12-02-2019;74;59;62;blood;SSB;Pup
S19;S19_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S19_H18;NA;F;NA;NA;2018_2019;1;16-12-2018;16;0;NA;blood;SSB;Mother
